movieId,title,genres,poster
1,Avengers: Endgame (2019),Action Sci-Fi,avengers_endgame.jpg
2,Avengers: Infinity War (2018),Action Sci-Fi,avengers_infinitywar.jpg
3,The Avengers (2012),Action Sci-Fi,the_avengers.jpg
4,Iron Man (2008),Action Sci-Fi,ironman.jpg
5,Iron Man 2 (2010),Action Sci-Fi,ironman2.jpg
6,Iron Man 3 (2013),Action Sci-Fi,ironman3.jpg
7,Thor (2011),Action Fantasy,thor.jpg
8,Thor: Ragnarok (2017),Action Fantasy,thor_ragnarok.jpg
9,Thor: Love and Thunder (2022),Action Fantasy,thor_love.jpg
10,Captain America: Civil War (2016),Action Sci-Fi,civilwar.jpg
11,Captain America: Winter Soldier (2014),Action Thriller,winter_soldier.jpg
12,Doctor Strange (2016),Fantasy Sci-Fi,doctor_strange.jpg
13,Spider-Man: No Way Home (2021),Action Adventure,spiderman_nowayhome.jpg
14,Spider-Man: Far From Home (2019),Action Adventure,spiderman_farfromhome.jpg
15,Black Panther (2018),Action Adventure,black_panther.jpg
16,Guardians of the Galaxy (2014),Comedy Sci-Fi,guardians1.jpg
17,Guardians of the Galaxy Vol.2 (2017),Comedy Sci-Fi,guardians2.jpg
18,Ant-Man (2015),Comedy Sci-Fi,antman.jpg
19,Ant-Man and the Wasp (2018),Comedy Sci-Fi,antman_wasp.jpg
20,Deadpool (2016),Action Comedy,deadpool.jpg
21,3 Idiots (2009),Comedy Drama,3idiots.jpg
22,Dangal (2016),Drama Sport,dangal.jpg
23,PK (2014),Comedy Drama,pk.jpg
24,Bajrangi Bhaijaan (2015),Drama Family,bajrangi.jpg
25,War (2019),Action Thriller,war.jpg
26,Pathaan (2023),Action Thriller,pathaan.jpg
27,Jawan (2023),Action Thriller,jawan.jpg
28,Animal (2023),Crime Drama,animal.jpg
29,Stree (2018),Horror Comedy,stree.jpg
30,Bhool Bhulaiyaa 2 (2022),Comedy Horror,bhool2.jpg
31,Chennai Express (2013),Action Comedy,chennai_express.jpg
32,Don 2 (2011),Action Crime,don2.jpg
33,Krrish (2006),Action Sci-Fi,krrish.jpg
34,Raees (2017),Crime Drama,raees.jpg
35,Gully Boy (2019),Drama Music,gully_boy.jpg
36,Brahmastra (2022),Fantasy Adventure,brahmastra.jpg
37,Queen (2014),Comedy Drama,queen.jpg
38,Yeh Jawaani Hai Deewani (2013),Romance Drama,yjhd.jpg
39,Zindagi Na Milegi Dobara (2011),Comedy Drama,znmd.jpg
40,Kabir Singh (2019),Romance Drama,kabir_singh.jpg
41,Tiger Zinda Hai (2017),Action Thriller,tiger_zinda_hai.jpg
42,Sultan (2016),Drama Sport,sultan.jpg
43,Padmaavat (2018),Drama History,padmaavat.jpg
44,Kesari (2019),War Drama,kesari.jpg
45,Drishyam (2015),Crime Thriller,drishyam.jpg
46,RRR (2022),Action Drama,rrr.jpg
47,Baahubali: The Beginning (2015),Action Fantasy,baahubali1.jpg
48,Baahubali 2: The Conclusion (2017),Action Fantasy,baahubali2.jpg
49,Pushpa (2021),Action Crime,pushpa.jpg
50,KGF Chapter 1 (2018),Action Crime,kgf1.jpg
51,KGF Chapter 2 (2022),Action Crime,kgf2.jpg
52,Kantara (2022),Action Thriller,kantara.jpg
53,Leo (2023),Action Crime,leo.jpg
54,Vikram (2022),Action Thriller,vikram.jpg
55,Master (2021),Action Thriller,master.jpg
56,The Dark Knight (2008),Action Crime,dark_knight.jpg
57,Batman Begins (2005),Action Crime,batman_begins.jpg
58,The Batman (2022),Crime Mystery,the_batman.jpg
59,Joker (2019),Crime Drama,joker.jpg
60,Inception (2010),Sci-Fi Thriller,inception.jpg
61,Interstellar (2014),Sci-Fi Drama,interstellar.jpg
62,Tenet (2020),Sci-Fi Action,tenet.jpg
63,Avatar (2009),Sci-Fi Adventure,avatar.jpg
64,Avatar: The Way of Water (2022),Sci-Fi Adventure,avatar2.jpg
65,Fast Five (2011),Action Thriller,fast5.jpg
66,Fast X (2023),Action Thriller,fastx.jpg
67,John Wick (2014),Action Crime,johnwick1.jpg
68,John Wick Chapter 4 (2023),Action Crime,johnwick4.jpg
69,Mission: Impossible Fallout (2018),Action Thriller,mi_fallout.jpg
70,Top Gun: Maverick (2022),Action Drama,topgun_maverick.jpg
